sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	salmonella_date	accession	full_name
uimo_B	16596_2#35	2287994	3226STDY6100839	2015-02-24	2015-04-01	SAMEA103885128	HPSI0713i-uimo_1 derived macrophage day 36 with IFNg
uimo_C	16596_2#36	2287995	3226STDY6100840	2015-02-24	2015-04-01	SAMEA103885371	HPSI0713i-uimo_1 derived macrophage day 36 with salmonella
uimo_D	16596_2#37	2287996	3226STDY6100841	2015-02-24	2015-04-01	SAMEA103885356	HPSI0713i-uimo_1 derived macrophage day 36 with salmonella and IFNg
yemz_A	16596_2#38	2287997	3226STDY6100842	2015-03-23	2015-04-24	SAMEA103885334	HPSI1013i-yemz_1 derived macrophage day 32 untreated
yemz_B	16596_2#39	2287998	3226STDY6100843	2015-03-23	2015-04-24	SAMEA103885147	HPSI1013i-yemz_1 derived macrophage day 32 with IFNg
yemz_C	16596_2#40	2287999	3226STDY6100844	2015-03-23	2015-04-24	SAMEA103885390	HPSI1013i-yemz_1 derived macrophage day 32 with salmonella
yemz_D	16596_2#41	2288000	3226STDY6100845	2015-03-23	2015-04-24	SAMEA103885078	HPSI1013i-yemz_1 derived macrophage day 32 with salmonella and IFNg
cicb_A	16596_2#42	2288001	3226STDY6100846	2015-03-30	2015-04-24	SAMEA103885048	HPSI0713i-cicb_3 derived macrophage day 25 untreated
cicb_B	16596_2#43	2288002	3226STDY6100847	2015-03-30	2015-04-24	SAMEA103885160	HPSI0713i-cicb_3 derived macrophage day 25 with IFNg
cicb_C	16596_2#44	2288003	3226STDY6100848	2015-03-30	2015-04-24	SAMEA103885009	HPSI0713i-cicb_3 derived macrophage day 25 with salmonella
cicb_D	16596_2#45	2288004	3226STDY6100849	2015-03-30	2015-04-24	SAMEA103884998	HPSI0713i-cicb_3 derived macrophage day 25 with salmonella and IFNg
ieki_A	16596_2#46	2288005	3226STDY6100850	2015-03-02	2015-04-14	SAMEA103885284	HPSI1113i-ieki_2 derived macrophage day 43 untreated
ieki_B	16596_2#47	2288006	3226STDY6100851	2015-03-02	2015-04-14	SAMEA103885059	HPSI1113i-ieki_2 derived macrophage day 43 with IFNg
ieki_C	16596_2#48	2288007	3226STDY6100852	2015-03-02	2015-04-14	SAMEA103884898	HPSI1113i-ieki_2 derived macrophage day 43 with salmonella
