sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	atac_date	accession	full_name
qolg_C_ATAC	18913_1#67	2484185	3226STDY6277601	2015-10-10	2015-11-13	SAMEA103884957	HPSI1113i-qolg_3 derived macrophage day 34 with salmonella
qolg_D_ATAC	18913_1#59	2484184	3226STDY6277600	2015-10-10	2015-11-13	SAMEA103884905	HPSI1113i-qolg_3 derived macrophage day 34 with salmonella and IFNg
sojd_A_ATAC	18913_1#47	2484151	3226STDY6277567	2015-09-11	2015-10-14	SAMEA103885212	HPSI0314i-sojd_3 derived macrophage day 33 untreated
sojd_B_ATAC	18913_1#39	2484150	3226STDY6277566	2015-09-11	2015-10-14	SAMEA103884971	HPSI0314i-sojd_3 derived macrophage day 33 with IFNg
sojd_C_ATAC	18913_1#63	2484153	3226STDY6277569	2015-09-11	2015-10-14	SAMEA103885290	HPSI0314i-sojd_3 derived macrophage day 33 with salmonella
sojd_D_ATAC	18913_1#55	2484152	3226STDY6277568	2015-09-11	2015-10-14	SAMEA103885281	HPSI0314i-sojd_3 derived macrophage day 33 with salmonella and IFNg
uaqe_A_ATAC	18913_1#48	2484159	3226STDY6277575	2015-10-01	2015-10-27	SAMEA103885238	HPSI0813i-uaqe_1 derived macrophage day 26 untreated
uaqe_B_ATAC	18913_1#40	2484158	3226STDY6277574	2015-10-01	2015-10-27	SAMEA103885006	HPSI0813i-uaqe_1 derived macrophage day 26 with IFNg
uaqe_C_ATAC	18913_1#64	2484161	3226STDY6277577	2015-10-01	2015-10-27	SAMEA103885232	HPSI0813i-uaqe_1 derived macrophage day 26 with salmonella
uaqe_D_ATAC	18913_1#56	2484160	3226STDY6277576	2015-10-01	2015-10-27	SAMEA103884896	HPSI0813i-uaqe_1 derived macrophage day 26 with salmonella and IFNg
zaui_A_ATAC	18913_1#10	2484195	3226STDY6277611	2015-10-11	2015-11-18	SAMEA103885381	HPSI0513i-zaui_3 derived macrophage day 38 untreated
zaui_B_ATAC	18913_1#1	2484194	3226STDY6277610	2015-10-11	2015-11-18	SAMEA103884918	HPSI0513i-zaui_3 derived macrophage day 38 with IFNg
zaui_C_ATAC	18913_1#28	2484197	3226STDY6277613	2015-10-11	2015-11-18	SAMEA103885074	HPSI0513i-zaui_3 derived macrophage day 38 with salmonella
zaui_D_ATAC	18913_1#19	2484196	3226STDY6277612	2015-10-11	2015-11-18	SAMEA103885219	HPSI0513i-zaui_3 derived macrophage day 38 with salmonella and IFNg
