sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	acLDL_date	accession	full_name
RUYV_24h_Ctrl	16823_1#9	2309481	IPSC-M-CV6118835	2015-03-02	2015-04-15	SAMEA103884991	HPSI0713i-ruyv_1 derived macrophage day 44 untreated
RUYV_24h_AcLDL	16823_1#10	2309482	IPSC-M-CV6118836	2015-03-02	2015-04-15	SAMEA103885132	HPSI0713i-ruyv_1 derived macrophage day 44 with LDL
VASS_24h_Ctrl	16823_1#11	2309483	IPSC-M-CV6118837	2015-03-29	2015-04-28	SAMEA103884878	HPSI0114i-vass_1 derived macrophage day 30 untreated
VASS_24h_AcLDL	16823_1#12	2309484	IPSC-M-CV6118838	2015-03-29	2015-04-28	SAMEA103885042	HPSI0114i-vass_1 derived macrophage day 30 with LDL
YEMZ_24h_Ctrl	16823_1#13	2309485	IPSC-M-CV6118839	2015-03-23	2015-04-28	SAMEA103884914	HPSI1013i-yemz_1 derived macrophage day 36 untreated
YEMZ_24h_AcLDL	16823_1#14	2309486	IPSC-M-CV6118840	2015-03-23	2015-04-28	SAMEA103885116	HPSI1013i-yemz_1 derived macrophage day 36 with LDL
EOJR_24h_Ctrl	16823_1#15	2309487	IPSC-M-CV6118841	2015-03-30	2015-05-14	SAMEA103884968	HPSI0613i-eojr_3 derived macrophage day 45 untreated
EOJR_24h_AcLDL	16823_1#16	2309488	IPSC-M-CV6118842	2015-03-30	2015-05-14	SAMEA103885355	HPSI0613i-eojr_3 derived macrophage day 45 with LDL
IISA_24h_Ctrl	16823_1#17	2309489	IPSC-M-CV6118843	2015-03-26	2015-05-06	SAMEA103885195	HPSI0114i-iisa_3 derived macrophage day 41 untreated
IISA_24h_AcLDL	16823_1#18	2309490	IPSC-M-CV6118844	2015-03-26	2015-05-06	SAMEA103885225	HPSI0114i-iisa_3 derived macrophage day 41 with LDL
JOXM_24h_Ctrl	16823_2#1	2309491	IPSC-M-CV6118845	2015-03-26	2015-05-14	SAMEA103885380	HPSI0114i-joxm_1 derived macrophage day 49 untreated
JOXM_24h_AcLDL	16823_2#2	2309492	IPSC-M-CV6118846	2015-03-26	2015-05-14	SAMEA103884904	HPSI0114i-joxm_1 derived macrophage day 49 with LDL
PAHC_24h_Ctrl	16823_2#3	2309493	IPSC-M-CV6118847	2015-03-31	2015-05-06	SAMEA103885305	HPSI1213i-pahc_4 derived macrophage day 36 untreated
PAHC_24h_AcLDL	16823_2#4	2309494	IPSC-M-CV6118848	2015-03-31	2015-05-06	SAMEA103885335	HPSI1213i-pahc_4 derived macrophage day 36 with LDL
SUKZ_24h_Ctrl	16823_2#5	2309495	IPSC-M-CV6118849	2015-03-30	2015-05-06	SAMEA103885035	HPSI0413i-sukz_1 derived macrophage day 37 untreated
SUKZ_24h_AcLDL	16823_2#6	2309496	IPSC-M-CV6118850	2015-03-30	2015-05-06	SAMEA103885038	HPSI0413i-sukz_1 derived macrophage day 37 with LDL
VEQZ_24h_Ctrl	16823_2#7	2309497	IPSC-M-CV6118851	2015-04-02	2015-05-06	SAMEA103885067	HPSI0513i-veqz_6 derived macrophage day 34 untreated
VEQZ_24h_AcLDL	16823_2#8	2309498	IPSC-M-CV6118852	2015-04-02	2015-05-06	SAMEA103885214	HPSI0513i-veqz_6 derived macrophage day 34 with LDL
XUCM_24h_Ctrl	16823_2#9	2309499	IPSC-M-CV6118853	2015-04-02	2015-05-14	SAMEA103885317	HPSI0613i-xucm_3 derived macrophage day 42 untreated
XUCM_24h_AcLDL	16823_2#10	2309500	IPSC-M-CV6118854	2015-04-02	2015-05-14	SAMEA103885064	HPSI0613i-xucm_3 derived macrophage day 42 with LDL
BEZI_24h_AcLDL	18017_1#2	2390631	IPSC-M-CV6190105	2015-06-18	2015-08-05	SAMEA103885330	HPSI0114i-bezi_1 derived macrophage day 48 with LDL
BEZI_24h_Ctrl	18079_1#1	2390630	IPSC-M-CV6190104	2015-06-18	2015-08-05	SAMEA103884903	HPSI0114i-bezi_1 derived macrophage day 48 untreated
EIPL_24h_AcLDL	18017_1#4	2390633	IPSC-M-CV6190107	2015-06-30	2015-08-05	SAMEA103885215	HPSI0114i-eipl_1 derived macrophage day 36 with LDL
EIPL_24h_Ctrl	18017_1#3	2390632	IPSC-M-CV6190106	2015-06-30	2015-08-05	SAMEA103884937	HPSI0114i-eipl_1 derived macrophage day 36 untreated
FEBC_24h_AcLDL	18017_1#6	2390635	IPSC-M-CV6190109	2015-07-06	2015-08-05	SAMEA103885336	HPSI0613i-febc_2 derived macrophage day 30 with LDL
FEBC_24h_Ctrl	18017_1#5	2390634	IPSC-M-CV6190108	2015-07-06	2015-08-05	SAMEA103885272	HPSI0613i-febc_2 derived macrophage day 30 untreated
HEJA_24h_AcLDL	18017_1#8	2390637	IPSC-M-CV6190111	2015-06-29	2015-08-04	SAMEA103885028	HPSI0214i-heja_1 derived macrophage day 36 with LDL
HEJA_24h_Ctrl	18017_1#7	2390636	IPSC-M-CV6190110	2015-06-29	2015-08-04	SAMEA103885061	HPSI0214i-heja_1 derived macrophage day 36 untreated
HIAF_24h_AcLDL	18017_1#20	2390649	IPSC-M-CV6190123	2015-06-18	2015-07-23	SAMEA103884911	HPSI1013i-hiaf_2 derived macrophage day 35 with LDL
HIAF_24h_Ctrl	18017_1#19	2390648	IPSC-M-CV6190122	2015-06-18	2015-07-23	SAMEA103885266	HPSI1013i-hiaf_2 derived macrophage day 35 untreated
KUXP_24h_AcLDL	18017_1#22	2390651	IPSC-M-CV6190125	2015-06-21	2015-07-23	SAMEA103885203	HPSI1013i-kuxp_1 derived macrophage day 32 with LDL
KUXP_24h_Ctrl	18017_1#21	2390650	IPSC-M-CV6190124	2015-06-21	2015-07-23	SAMEA103885391	HPSI1013i-kuxp_1 derived macrophage day 32 untreated
NEMB_24h_AcLDL	18017_1#14	2390643	IPSC-M-CV6190117	2015-06-26	2015-07-27	SAMEA103884961	HPSI0713i-nemb_1 derived macrophage day 31 with LDL
NEMB_24h_Ctrl	18017_1#13	2390642	IPSC-M-CV6190116	2015-06-26	2015-07-27	SAMEA103885364	HPSI0713i-nemb_1 derived macrophage day 31 untreated
OAPG_24h_AcLDL	18017_1#16	2390645	IPSC-M-CV6190119	2015-06-21	2015-07-27	SAMEA103884942	HPSI0913i-oapg_5 derived macrophage day 36 with LDL
OAPG_24h_Ctrl	18017_1#15	2390644	IPSC-M-CV6190118	2015-06-21	2015-07-27	SAMEA103885032	HPSI0913i-oapg_5 derived macrophage day 36 untreated
PAMV_24h_AcLDL	18017_1#18	2390647	IPSC-M-CV6190121	2015-07-01	2015-07-27	SAMEA103885097	HPSI1013i-pamv_3 derived macrophage day 26 with LDL
PAMV_24h_Ctrl	18017_1#17	2390646	IPSC-M-CV6190120	2015-07-01	2015-07-27	SAMEA103885022	HPSI1013i-pamv_3 derived macrophage day 26 untreated
