line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,ATAC,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,chemistry,status,comment
yemz_1,1,,10/03/2015,25,frozen,E8,20/03/2015,27,23/03/2015,17/04/2015,24/04/2015,,23/04/2015,9,07/05/2015,25/04/2015,29/04/2015,3226_RNAauto-290415,V4_auto,Success,
vass_1,1,,10/03/2015,27,frozen,E8,26/03/2015,31,29/03/2015,17/04/2015,24/04/2015,24/04/2015,23/04/2015,7,29/04/2015,27/04/2015,29/04/2015,3226_RNAauto-290415,V4_auto,Success,
cicb_3,1,,09/03/2015,39,frozen,E8,27/03/2015,43,30/03/2015,17/04/2015,24/04/2015,24/04/2015,23/04/2015,6,29/04/2015,25/04/2015,29/04/2015,3226_RNAauto-290415,V4_auto,Success,
eika_2,1,,04/02/2015,28,frozen,E8,02/03/2015,32,05/04/2015,07/04/2015,14/04/2015,17/04/2015,13/04/2015,9,20/04/2015,29/04/2015,29/04/2015,3226_RNAauto-290415,V4_auto,Success,
bubh_1,1,,04/02/2015,24,frozen,E8,20/02/2015,28,23/02/2015,25/03/2015,01/04/2015,,13/04/2015,10,10/04/2015,22/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
ruyv_1,1,,04/02/2015,24,frozen,KSR,27/02/2015,27,02/03/2015,07/04/2015,14/04/2015,17/04/2015,28/04/2015,9,21/04/2015,29/04/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
iisa_3,1,,23/02/2015,30,frozen,E8,23/03/2015,35,26/03/2015,29/04/2015,06/05/2015,13/05/2015,05/05/2015,8,12/05/2015,22/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,Keep for Seabstian.
joxm_1,1,,10/03/2015,32,frozen,E8,23/03/2015,36,26/03/2015,29/04/2015,06/05/2015,13/05/2015,14/05/2015,9,12/05/2015,22/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
wibj_2,1,,10/03/2015,25,frozen,E8,27/03/2015,29,30/03/2015,21/04/2015,28/04/2015,,23/04/2015,8,29/04/2015,16/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
sukz_1,1,,09/03/2015,23,frozen,E8,27/03/2015,27,30/03/2015,29/04/2015,06/05/2015,06/05/2015,05/05/2015,8,08/05/2015,19/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,Keep for Sebastian.
eojr_3,1,,13/03/2015,35,frozen,E8,27/03/2015,39,30/03/2015,29/04/2015,06/05/2015,13/05/2015,05/05/2015,9,12/05/2015,17/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
