sample_id	lanelet_id	sequencescape_id	sanger_id
pelm_B	17982_2#38	2406761	3226STDY6202469
pelm_C	17982_2#39	2406762	3226STDY6202470
pelm_D	17982_2#40	2406763	3226STDY6202471
nemb_A	17982_2#41	2406764	3226STDY6202472
nemb_B	17982_2#42	2406765	3226STDY6202473
nemb_C	17982_2#43	2406766	3226STDY6202474
nemb_D	17982_2#44	2406767	3226STDY6202475
babk_A	19336_2#61	2483814	3226STDY6277230
babk_B	19336_2#62	2483815	3226STDY6277231
babk_C	19336_2#63	2483816	3226STDY6277232
babk_D	19336_2#64	2483817	3226STDY6277233
coyi_A	19336_2#21	2483774	3226STDY6277190
coyi_B	19336_2#22	2483775	3226STDY6277191
coyi_C	19336_2#23	2483776	3226STDY6277192
coyi_D	19336_2#24	2483777	3226STDY6277193
diku_A	19336_2#37	2483790	3226STDY6277206
diku_B	19336_2#38	2483791	3226STDY6277207
diku_C	19336_2#39	2483792	3226STDY6277208
diku_D	19336_2#40	2483793	3226STDY6277209
eiwy_A	19336_2#49	2483802	3226STDY6277218
eiwy_B	19336_2#50	2483803	3226STDY6277219
eiwy_C	19336_2#51	2483804	3226STDY6277220
eiwy_D	19336_2#52	2483805	3226STDY6277221
fafq_A	19336_2#9	2483762	3226STDY6277178
fafq_B	19336_2#10	2483763	3226STDY6277179
fafq_C	19336_2#11	2483764	3226STDY6277180
fafq_D	19336_2#12	2483765	3226STDY6277181
fikt_A	19336_2#13	2483766	3226STDY6277182
fikt_B	19336_2#14	2483767	3226STDY6277183
fikt_C	19336_2#15	2483768	3226STDY6277184
fikt_D	19336_2#16	2483769	3226STDY6277185
guss_A	19336_2#53	2483806	3226STDY6277222
guss_B	19336_2#54	2483807	3226STDY6277223
guss_C	19336_2#55	2483808	3226STDY6277224
guss_D	19336_2#56	2483809	3226STDY6277225
hayt_A	19336_2#17	2483770	3226STDY6277186
hayt_B	19336_2#18	2483771	3226STDY6277187
hayt_C	19336_2#19	2483772	3226STDY6277188
hayt_D	19336_2#20	2483773	3226STDY6277189
hehd_A	19336_2#5	2483758	3226STDY6277174
hehd_B	19336_2#6	2483759	3226STDY6277175
hehd_C	19336_2#7	2483760	3226STDY6277176
hehd_D	19336_2#8	2483761	3226STDY6277177
iill_A	19336_2#41	2483794	3226STDY6277210
iill_B	19336_2#42	2483795	3226STDY6277211
iill_C	19336_2#43	2483796	3226STDY6277212
iill_D	19336_2#44	2483797	3226STDY6277213
nukw_A	19336_2#29	2483782	3226STDY6277198
nukw_B	19336_2#30	2483783	3226STDY6277199
nukw_C	19336_2#31	2483784	3226STDY6277200
nukw_D	19336_2#32	2483785	3226STDY6277201
oevr_A	19336_2#33	2483786	3226STDY6277202
oevr_B	19336_2#34	2483787	3226STDY6277203
oevr_C	19336_2#35	2483788	3226STDY6277204
oevr_D	19336_2#36	2483789	3226STDY6277205
qaqx_A	19336_2#57	2483810	3226STDY6277226
qaqx_B	19336_2#58	2483811	3226STDY6277227
qaqx_C	19336_2#59	2483812	3226STDY6277228
qaqx_D	19336_2#60	2483813	3226STDY6277229
qolg_A	19336_2#1	2483754	3226STDY6277170
qolg_B	19336_2#2	2483755	3226STDY6277171
qolg_C	19336_2#3	2483756	3226STDY6277172
qolg_D	19336_2#4	2483757	3226STDY6277173
sojd_A	19336_2#25	2483778	3226STDY6277194
sojd_B	19336_2#26	2483779	3226STDY6277195
sojd_C	19336_2#27	2483780	3226STDY6277196
sojd_D	19336_2#28	2483781	3226STDY6277197
zaui_A	19336_2#45	2483798	3226STDY6277214
zaui_B	19336_2#46	2483799	3226STDY6277215
zaui_C	19336_2#47	2483800	3226STDY6277216
zaui_D	19336_2#48	2483801	3226STDY6277217
