# fpdl and eofe samples were done with one well per condition, need to double the RNA concentration.
# gomv_3 D condition had 21.5 ul of RNA before measuring concentration, hence the very high value.
# aipt A was done on a different day, only use samples B-D to estimate mean concentration.
# oarz samples from 08/09/14 not sequenced, because oarz A was degraded.
# ffdk samples not sequenced, becuase of low purity (~80% CD14 positive)
# zuta 6/11/14 not submitted because of low RNA purity
# oeoo 22/9/14 not submitted because too high RNA concentration
# riiv and meqo not subimtted because of low concentration
# ieki A,B only one well per condition
# dium (ougl_X_2) 1 well per sample for all conditions
# ruyv_C concentration after clean-up, lost par of the sample (5/24/2015)
# pelm 1 well per sample
sample_name	sample_id	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
iisa A	iisa_A	Default	5/22/2015	6:03 PM	254.16	6.354	3.080	2.06	1.61	40.00	230	3.953	-0.013
iisa B	iisa_B	Default	5/22/2015	6:04 PM	317.99	7.950	3.878	2.05	2.14	40.00	230	3.722	-0.004
iisa C	iisa_C	Default	5/22/2015	6:05 PM	205.19	5.130	2.508	2.05	1.88	40.00	230	2.734	-0.006
iisa D	iisa_D	Default	5/22/2015	6:05 PM	270.78	6.769	3.299	2.05	2.13	40.00	230	3.175	-0.002
ruyv A	ruyv_A	Default	4/29/2015	7:14 PM	63.01	1.575	0.776	2.03	1.96	40.00	230	0.802	0.675
ruyv B	ruyv_B	Default	4/29/2015	7:15 PM	33.16	0.829	0.416	1.99	1.78	40.00	230	0.465	0.676
ruyv C	ruyv_C	Default	4/29/2015	6:01 PM	16.78	0.419	0.230	1.82	1.39	40.00	230	0.302	0.044
ruyv D	ruyv_D	Default	4/29/2015	7:17 PM	30.07	0.752	0.369	2.04	1.36	40.00	230	0.553	0.688
ruyv A	NA	Default	5/17/2015	3:43 PM	21.71	0.543	0.270	2.01	1.49	40.00	230	0.365	0.004
ruyv B	NA	Default	5/17/2015	3:44 PM	23.41	0.585	0.283	2.07	1.60	40.00	230	0.365	0.012
ruyv C	NA	Default	5/17/2015	3:45 PM	13.64	0.341	0.158	2.16	1.18	40.00	230	0.289	-0.017
ruyv D	NA	Default	5/17/2015	3:45 PM	17.64	0.441	0.217	2.04	0.48	40.00	230	0.917	0.068
podx A	podx_A	Default	8/14/2015	6:37 PM	114.47	2.862	1.385	2.07	2.08	40.00	230	1.377	0.042
podx B	podx_B	Default	8/14/2015	6:39 PM	129.96	3.249	1.571	2.07	1.79	40.00	230	1.812	0.038
podx C	podx_C	Default	8/14/2015	6:39 PM	47.59	1.190	0.596	2.00	1.69	40.00	230	0.703	0.032
podx D	podx_D	Default	8/14/2015	6:40 PM	82.34	2.058	1.003	2.05	1.75	40.00	230	1.178	0.047
eipl A	eipl_A	Default	8/14/2015	6:41 PM	135.65	3.391	1.663	2.04	1.81	40.00	230	1.872	0.042
eipl B	eipl_B	Default	8/14/2015	6:42 PM	125.29	3.132	1.538	2.04	1.82	40.00	230	1.724	0.045
eipl C	eipl_C	Default	8/14/2015	6:43 PM	119.62	2.991	1.464	2.04	1.93	40.00	230	1.547	0.042
eipl D	eipl_D	Default	8/14/2015	6:43 PM	157.51	3.938	1.937	2.03	1.96	40.00	230	2.014	0.036
heja A	heja_A	Default	8/14/2015	6:44 PM	43.61	1.090	0.547	1.99	1.89	40.00	230	0.577	0.045
heja B	heja_B	Default	8/14/2015	6:45 PM	41.39	1.035	0.521	1.98	1.85	40.00	230	0.560	0.032
heja C	heja_C	Default	8/14/2015	6:47 PM	109.52	2.738	1.345	2.04	2.08	40.00	230	1.319	0.034
heja D	heja_D	Default	8/14/2015	6:47 PM	112.25	2.806	1.365	2.06	1.89	40.00	230	1.487	0.033
hiaf A	hiaf_A	Default	8/16/2015	8:11 PM	304.18	7.605	3.707	2.05	2.04	40.00	230	3.733	-0.002
hiaf B	hiaf_B	Default	8/16/2015	8:12 PM	368.84	9.221	4.533	2.03	2.01	40.00	230	4.589	0.013
hiaf C	hiaf_C	Default	8/16/2015	8:13 PM	372.18	9.304	4.535	2.05	2.09	40.00	230	4.445	0.004
hiaf D	hiaf_D	Default	8/16/2015	8:13 PM	312.71	7.818	3.832	2.04	2.12	40.00	230	3.692	0.004
febc C	febc_C	Default	8/16/2015	8:14 PM	84.53	2.113	1.028	2.06	2.08	40.00	230	1.014	0.001
febc B	febc_B	Default	8/16/2015	8:15 PM	153.60	3.840	1.872	2.05	2.06	40.00	230	1.864	0.016
febc A	febc_A	Default	8/16/2015	8:16 PM	133.44	3.336	1.618	2.06	2.05	40.00	230	1.629	0.000
febc D	febc_D	Default	8/16/2015	8:16 PM	122.76	3.069	1.492	2.06	1.85	40.00	230	1.661	-0.013
pamv A	pamv_A	Default	8/16/2015	8:17 PM	275.48	6.887	3.356	2.05	2.13	40.00	230	3.241	0.003
pamv B	pamv_B	Default	8/16/2015	8:18 PM	266.00	6.650	3.235	2.06	1.98	40.00	230	3.352	0.008
pamv C	pamv_C	Default	8/16/2015	8:18 PM	228.84	5.721	2.796	2.05	2.11	40.00	230	2.714	-0.008
pamv D	pamv_D	Default	8/16/2015	8:19 PM	263.83	6.596	3.216	2.05	2.12	40.00	230	3.118	0.008
kuxp A	kuxp_A	Default	8/18/2015	6:23 PM	331.82	8.296	4.066	2.04	2.06	40.00	230	4.033	-0.007
kuxp B	kuxp_B	Default	8/18/2015	6:24 PM	365.44	9.136	4.486	2.04	1.95	40.00	230	4.686	-0.015
kuxp C	kuxp_C	Default	8/18/2015	6:25 PM	210.86	5.272	2.566	2.05	1.99	40.00	230	2.650	-0.002
kuxp D	kuxp_D	Default	8/18/2015	6:25 PM	275.35	6.884	3.357	2.05	2.04	40.00	230	3.373	0.027
